,name,title,rating,review_count
50,Stock - the cafe at Local Foods,American (New),5.0,5
59,Wildberry Pancakes and Cafe,American (New),4.5,2878
10,Alinea,American (New),4.5,1553
87,Stock - the cafe at Local Foods,Breakfast & Brunch,5.0,5
92,Wildberry Pancakes and Cafe,Breakfast & Brunch,4.5,2878
62,Dick's Hideaway,Breakfast & Brunch,4.5,630
97,Paradise Valley Burger,American (Traditional),4.5,815
99,3 Arts Club Cafe,American (Traditional),4.5,292
95,Good Fellas Grill,American (Traditional),4.5,275
124,La Poblanita,Mexican,5.0,27
125,Paradise Valley Burger,Mexican,4.5,815
121,Dick's Hideaway,Mexican,4.5,630
150,BRGRBELLY,Bars,4.5,386
154,Doc B's Fresh Kitchen - River North,Bars,4.5,361
156,Lowcountry,Bars,4.5,261
