title,id,alias
American (New),61,61
Breakfast & Brunch,31,31
American (Traditional),28,28
Mexican,24,24
Bars,23,23
Italian,19,19
Sandwiches,17,17
Burgers,16,16
Seafood,15,15
Cafes,13,13
Asian Fusion,13,13
Cocktail Bars,12,12
Pizza,12,12
Salad,11,11
Korean,11,11
Mediterranean,10,10
Coffee & Tea,10,10
Vegetarian,9,9
Southern,9,9
Gastropubs,9,9
Latin American,8,8
Thai,7,7
Cuban,7,7
Wine Bars,7,7
Barbeque,6,6
Cajun/Creole,6,6
Chinese,5,5
Diners,5,5
Breweries,5,5
Soup,5,5
Pubs,5,5
Tapas/Small Plates,4,4
Vegan,4,4
Japanese,4,4
Spanish,4,4
Ramen,4,4
Greek,3,3
Gluten-Free,3,3
Juice Bars & Smoothies,3,3
Desserts,3,3
Sushi Bars,3,3
Lounges,3,3
Tapas Bars,3,3
Fast Food,3,3
Middle Eastern,3,3
Soul Food,3,3
Steakhouses,3,3
New Mexican Cuisine,2,2
Chicken Wings,2,2
Brazilian,2,2
Modern European,2,2
Polish,2,2
Caterers,2,2
Tex-Mex,2,2
Bakeries,2,2
Whiskey Bars,2,2
French,2,2
Community Service/Non-Profit,2,2
Fish & Chips,2,2
Chicken Shop,2,2
Hot Dogs,2,2
Delis,2,2
Tacos,1,1
Basque,1,1
Beer Bar,1,1
Venues & Event Spaces,1,1
Waffles,1,1
Vietnamese,1,1
Venezuelan,1,1
Austrian,1,1
Turkish,1,1
Brasseries,1,1
British,1,1
Puerto Rican,1,1
German,1,1
Colombian,1,1
Czech,1,1
Dim Sum,1,1
Falafel,1,1
Filipino,1,1
Food Trucks,1,1
Fruits & Veggies,1,1
Cheese Shops,1,1
Gelato,1,1
Halal,1,1
Peruvian,1,1
Hawaiian,1,1
Hotels,1,1
Indian,1,1
Caribbean,1,1
Jazz & Blues,1,1
Cantonese,1,1
Malaysian,1,1
Noodles,1,1
Pakistani,1,1
Himalayan/Nepalese,1,1
